word1,freq
1.08E+12,12
1.08E+12,12
1.08E+12,14
1.08E+12,8
1.08E+13,12
1.08E+12,9
1.08E+12,11
1.08E+12,14
1.08E+12,4
1.08E+12,8
1.08E+12,3
1.08E+12,8
1.08E+12,12
1.08E+13,12
1.08E+13,14
1.08E+12,6
1.08E+12,14
1.08E+12,13
1.08E+13,10
1.08E+12,13
1.08E+12,2
1.08E+13,13
1.08E+13,9
1.08E+11,12
1.08E+12,9
1.08E+12,11
1.08E+12,13
1.08E+12,11
1.08E+12,13
1.08E+12,13
1.08E+13,14
1.08E+12,13
1.08E+12,12
1.08E+12,14
1.08E+11,13
1.08E+12,13
1.08E+12,9
1.08E+12,8
1.08E+12,522
1.08E+13,76
1.08E+12,15
1.09E+12,11
1.09E+12,12
1.09E+12,12
1.09E+12,12
1.09E+12,8
1.09E+13,12
1.09E+12,9
1.09E+11,13
1.09E+12,12
1.09E+12,14
1.09E+12,4
1.09E+12,9
1.09E+12,13
1.09E+12,11
1.09E+11,14
1.09E+12,12
1.09E+13,12
1.09E+13,14
1.09E+12,13
1.09E+12,5
1.09E+12,9
1.09E+11,9
1.09E+12,11
1.09E+12,10
1.09E+13,10
1.09E+11,12
1.09E+11,12
1.09E+11,14
1.09E+13,9
1.09E+12,12
1.09E+12,14
1.09E+12,10
1.09E+12,13
1.09E+12,11
1.09E+12,13
1.09E+11,10
1.09E+13,13
1.09E+11,12
1.09E+12,12
1.09E+11,14
1.09E+12,12
1.09E+12,14
1.09E+12,10
1.09E+12,11
1.09E+12,525
1.09E+13,77
1.09E+12,15
1.10E+11,9
1.10E+11,10
1.10E+11,12
1.10E+12,12
1.10E+11,14
1.10E+12,14
1.10E+11,8
1.10E+12,9
1.10E+13,11
1.10E+12,9
1.10E+12,12
1.10E+12,14
1.10E+12,4
1.10E+12,9
1.10E+12,13
1.10E+12,12
1.10E+12,12
1.10E+12,12
1.10E+13,12
1.10E+13,14
1.10E+12,13
1.10E+12,3
1.10E+12,14
1.10E+12,11
1.10E+11,13
1.10E+12,11
1.10E+12,11
1.10E+12,2
1.10E+12,12
1.10E+11,13
1.10E+13,11
1.10E+13,9
1.10E+12,11
1.10E+11,14
1.10E+12,11
1.10E+12,13
1.10E+12,11
1.10E+11,12
1.10E+12,12
1.10E+13,14
1.10E+12,10
1.10E+11,6
1.10E+12,13
1.10E+12,13
1.10E+12,8
1.10E+11,12
1.10E+12,12
1.10E+12,503
1.10E+13,79
1.10E+12,2
1.10E+12,15
1.11E+12,6
1.11E+11,22
1.11E+12,13
1.11E+12,8
1.11E+13,12
1.11E+12,10
1.11E+11,13
1.11E+12,11
1.11E+11,14
1.11E+11,4
1.11E+11,10
1.11E+11,8
1.11E+12,8
1.11E+12,13
1.11E+12,12
1.11E+12,12
1.11E+13,14
1.11E+12,6
1.11E+12,6
1.11E+12,14
1.11E+12,14
1.11E+12,14
1.11E+12,12
1.11E+12,12
1.11E+12,10
1.11E+12,3
1.11E+11,12
1.11E+13,13
1.11E+13,9
1.11E+12,12
